
Start of a new data set 
The energy is15000
 h k l 2theta Intensity
4 2 5 180.000000 2.136032
4 2 7 180.000000 1.916121
4 2 9 180.000000 1.663961
4 3 1 180.000000 1.599131
4 3 3 180.000000 1.545269
4 3 5 180.000000 1.444160
4 3 7 180.000000 1.307602
4 3 9 180.000000 1.150157
4 4 0 180.000000 5.504252
4 4 2 180.000000 5.421436
4 4 4 180.000000 5.182809
4 4 6 180.000000 4.815739
4 4 8 180.000000 4.359541
4 7 0 180.000000 1.645140
4 7 2 180.000000 1.634121
4 7 4 180.000000 1.602105
4 7 6 180.000000 1.552029
4 7 8 180.000000 1.488239
5 0 1 180.000000 2.747063
5 0 3 180.000000 2.644203
5 0 5 180.000000 2.451681
5 0 7 180.000000 2.192954
5 0 9 180.000000 1.896789
5 1 1 180.000000 2.080864
5 1 3 180.000000 2.006701
5 1 5 180.000000 1.867695
5 1 7 180.000000 1.680437
5 1 9 180.000000 1.465339
5 2 0 180.000000 7.871740
5 2 2 180.000000 7.740359
5 2 4 180.000000 7.362418
5 2 6 180.000000 6.783000
5 2 8 180.000000 6.066568
5 5 0 180.000000 2.378869
5 5 2 180.000000 2.355549
5 5 4 180.000000 2.287997
5 5 6 180.000000 2.182985
5 5 8 180.000000 2.050405
5 8 0 180.000000 1.105572
5 8 2 180.000000 1.102657
5 8 4 180.000000 1.094155
5 8 6 180.000000 1.080751
5 8 8 180.000000 1.063482
6 0 0 180.000000 8.940744
6 0 2 180.000000 8.786892
6 0 4 180.000000 8.344547
6 0 6 180.000000 7.667109
6 0 8 180.000000 6.830841
6 1 1 180.000000 1.248167
6 1 3 180.000000 1.208743
6 1 5 180.000000 1.134616
6 1 7 180.000000 1.034225
6 3 0 180.000000 3.304570
6 3 2 180.000000 3.264506
6 3 4 180.000000 3.148721
6 3 6 180.000000 2.969560
6 3 8 180.000000 2.744912
6 6 0 180.000000 1.332497
6 6 2 180.000000 1.326307
6 6 4 180.000000 1.308284
6 6 6 180.000000 1.279982
6 6 8 180.000000 1.243720
7 1 0 180.000000 3.999396
7 1 2 180.000000 3.946182
7 1 4 180.000000 3.792580
7 1 6 180.000000 3.555466
7 1 8 180.000000 3.259208
7 4 0 180.000000 1.645140
7 4 2 180.000000 1.634121
7 4 4 180.000000 1.602105
7 4 6 180.000000 1.552029
7 4 8 180.000000 1.488239
7 7 0 180.000000 1.007880
7 7 2 180.000000 1.006300
7 7 4 180.000000 1.001684
8 2 0 180.000000 1.943894
8 2 2 180.000000 1.928004
8 2 4 180.000000 1.881900
8 2 6 180.000000 1.809998
8 2 8 180.000000 1.718790
8 5 0 180.000000 1.105572
8 5 2 180.000000 1.102657
8 5 4 180.000000 1.094155
8 5 6 180.000000 1.080751
8 5 8 180.000000 1.063482
9 0 0 180.000000 2.070811
9 0 2 180.000000 2.052790
9 0 4 180.000000 2.000531
9 0 6 180.000000 1.919114
9 0 8 180.000000 1.815994
9 3 0 180.000000 1.214124
9 3 2 180.000000 1.209670
9 3 4 180.000000 1.196692
9 3 6 180.000000 1.176273
9 3 8 180.000000 1.150040

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 301.503298
0 1 0 42.470211 19.658154
0 1 1 44.670996 54.201184
0 1 2 50.821657 14.494402
0 0 4 54.800065 101.947664
0 1 3 60.041596 32.840770
0 1 4 71.695931 8.375505
1 1 0 77.708499 60.343222
1 1 2 83.857979 55.254299
0 1 5 85.652665 20.256835
0 0 6 87.307790 52.960909
0 2 0 92.836501 6.239486
0 2 1 94.356332 18.446469
0 2 2 98.938732 5.905011
1 1 4 102.162390 46.049082
0 1 6 102.439047 5.744117
0 2 3 106.722905 16.714563
0 2 4 118.232765 5.207484
0 1 7 124.024709 15.196307
0 0 8 133.969427 38.951215
0 2 5 135.341765 14.537438
1 1 6 137.743676 38.460182
1 2 0 146.782874 4.685882
1 2 1 149.663463 13.962173
1 2 2 160.474487 4.562095
0 1 8 163.066990 2.273109

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 301.503298
0 1 0 42.470211 19.658154
0 1 1 44.670996 54.201184
0 1 2 50.821657 14.494402
0 0 4 54.800065 101.947664
0 1 3 60.041596 32.840770
0 1 4 71.695931 8.375505
1 1 0 77.708499 60.343222
1 1 2 83.857979 55.254299
0 1 5 85.652665 20.256835
0 0 6 87.307790 52.960909
0 2 0 92.836501 6.239486
0 2 1 94.356332 18.446469
0 2 2 98.938732 5.905011
